0.0377,17.17,0.08
0.0378,16.89,0.09
0.038,17.03,0.08
0.0387,17.38,0.08
0.0391,17.18,0.1
0.0393,16.77,0.06
0.0397,17.18,0.07
0.0402,17.59,0.06
0.0406,16.9,0.06
0.0421,17.22,0.08
0.0422,17.3,0.08
0.0423,17.05,0.06
0.0425,16.98,0.06
0.043,17.42,0.28
0.0436,18.2,0.14
0.0437,17.55,0.06
0.045,17.3,0.05
0.0453,17.58,0.05
0.0461,17.7,0.09
0.047,17.42,0.05
0.0484,18.29,0.08
0.0488,17.03,0.05
0.0489,17.72,0.08
0.0491,17.56,0.05
0.0499,17.75,0.05
0.05,17.79,0.05
0.0509,18.11,0.1
0.0522,17.99,0.05
0.0529,17.6,0.05
0.0533,17.9,0.23
0.0537,17.58,0.05
0.0544,17.88,0.05
0.0546,17.64,0.05
0.0561,17.71,0.07
0.0567,17.86,0.04
0.0576,17.71,0.04
0.0583,17.63,0.06
0.0583,18.22,0.04
0.0589,17.85,0.04
0.0589,18.04,0.13
0.0603,18.12,0.11
0.0618,18.03,0.04
0.0627,18.25,0.05
0.0639,18.36,0.04
0.0643,17.73,0.04
0.0651,18,0.04
0.0664,18.66,0.04
0.0684,18.12,0.04
0.0688,18.38,0.06
0.069,18.35,0.07
0.0701,18.43,0.04
0.0746,18.39,0.04
0.0747,17.37,0.11
0.0754,18.39,0.03
0.077,20.35,0.05
0.0784,18.37,0.03
0.0786,18.27,0.04
0.08,18.41,0.03
0.0843,18.15,0.08
0.0857,18.8,0.08
0.0857,19.12,0.04
0.0859,18.75,0.03
0.0876,19.19,0.11
0.089,18.67,0.04
0.0929,19.06,0.05
0.0931,19.16,0.03
0.0939,18.64,0.04
0.0969,19.57,0.04
